,ret,up_days,std,maxdn,category
19920904,0.3709945972265199,0.3999565201333775,0.14457778622478282,0.028597005014281765,0
19920907,0.4846990225438301,0.3999565201333775,0.12087695487835949,0.29189936841732694,0
19920908,0.33377365483572013,0.6029046169560883,0.059357338935314675,0.29189936841732694,0
19920909,0.5886942572367997,0.6029046169560883,0.0014792784246485356,0.29189936841732694,0
19920910,0.6550180594999216,0.8058527137787992,0.0007747445040556511,0.29189936841732694,0
19920911,0.8833439551250504,1.00880081060151,0.00586846965753706,0.29189936841732694,0
19920914,0.7276482214186771,1.00880081060151,-0.03653042392958226,0.29189936841732694,0
19920915,0.7408516772871524,0.8058527137787992,-0.04592204553179456,0.29189936841732694,0
19920916,0.699585156061918,1.00880081060151,-0.04512157645584716,0.29189936841732694,0
19920917,0.6478762846976409,1.00880081060151,-0.05292490396729542,0.29189936841732694,0
19920918,0.37554650688747243,0.8058527137787992,-0.05882853959929919,0.29189936841732694,0
19920921,0.21017808198243032,0.8058527137787992,-0.1265360834690059,0.29189936841732694,0
19920922,0.31797919921208156,0.6029046169560883,-0.16936452573590347,0.29189936841732694,0
19920923,0.377214359552978,0.8058527137787992,-0.19195786872200912,0.29189936841732694,0
19920924,0.48207026465586916,1.00880081060151,-0.1542933003197132,0.29189936841732694,0
19920925,0.555800664465807,0.8058527137787992,-0.15882196640844023,0.29189936841732694,0
19920928,0.4768774966111793,0.8058527137787992,-0.1678080586046816,0.29189936841732694,0
19920929,0.47260172910133047,0.8058527137787992,-0.1718401281535772,0.29189936841732694,0
19920930,0.5189006614455163,0.6029046169560883,-0.1701415615533232,0.29189936841732694,0
19921005,0.5174682147131293,0.6029046169560883,-0.17947993040506993,0.29189936841732694,0
19921006,0.4290921648584516,0.6029046169560883,-0.17821254191807628,0.29189936841732694,0
19921007,0.4029755787916487,0.6029046169560883,-0.18174912752211447,0.29189936841732694,0
19921008,0.4038558725520964,0.3999565201333775,-0.18504110071920096,0.29189936841732694,0
